Id,OrderDate,OrderNumber,CustomerId,TotalAmount
852,07-07-2020 15:10:24,KYTldWvgIS,129,2058.00
853,07-07-2020 15:11:16,SeBvzfNVYh,129,2056.00
854,07-07-2020 15:11:32,maCBqFkYuN,130,2541.00
855,07-07-2020 15:11:32,usxEnLfLgx,130,2227.00
856,07-07-2020 15:11:32,kMyXDTFxuR,131,2655.00
857,07-07-2020 15:11:32,WbuWHJxtSx,131,4050.00
858,07-07-2020 15:11:32,MwLTyBHWhM,132,1552.00
859,07-07-2020 15:11:32,YcOCVyCDXw,132,2527.00
860,07-07-2020 15:11:33,aMEBQtXzVD,133,2679.00
861,07-07-2020 15:11:33,pMRJKObEAb,133,1629.00
