Id,OrderDate,OrderNumber,CustomerId,TotalAmount
862,07-07-2020 15:20:29,nIpGRUnRal,134,2685.00
863,07-07-2020 15:20:30,hSvxxYQkdf,134,2115.00
864,07-07-2020 15:20:30,ChaEynleRh,135,3308.00
865,07-07-2020 15:20:30,xXdVjrxXIU,135,3473.00
866,07-07-2020 15:20:30,fgyMwwrunK,136,2406.00
867,07-07-2020 15:20:30,XPAuzeHKjF,136,2169.00
868,07-07-2020 15:20:30,KjYSLlOzpf,137,2440.00
869,07-07-2020 15:20:30,BSBhYwJojc,137,1209.00
870,07-07-2020 15:20:31,VPRgjGxIwe,138,2473.00
871,07-07-2020 15:20:31,JMPdlWgEbm,138,2295.00
