Id,OrderDate,OrderNumber,CustomerId,TotalAmount
802,07-07-2020 12:14:14,DqnvhcrUnk,104,2690.00
803,07-07-2020 12:14:15,TEhUaJLNgV,104,1817.00
804,07-07-2020 12:14:15,afkaoajEXm,105,1795.00
805,07-07-2020 12:14:15,GIoFYyIkxM,105,3071.00
806,07-07-2020 12:14:15,IFsSmjkMhR,106,1539.00
807,07-07-2020 12:14:15,KWgqzyemhh,106,2432.00
808,07-07-2020 12:14:15,SLWbEkrCVC,107,1670.00
809,07-07-2020 12:14:15,bAquovNrNe,107,2809.00
810,07-07-2020 12:14:15,OwwfAICWgA,108,1320.00
811,07-07-2020 12:14:15,twdqSVHqoa,108,1505.00
