Id,OrderDate,OrderNumber,CustomerId,TotalAmount
872,07-07-2020 16:08:20,GRfhjfotud,139,2488.00
873,07-07-2020 16:08:20,uuBfIUqSJe,139,2624.00
874,07-07-2020 16:08:20,LgclvOcyWc,140,2402.00
875,07-07-2020 16:08:20,pemVweJJWd,140,2284.00
876,07-07-2020 16:08:20,sdotJqkJup,141,1722.00
877,07-07-2020 16:08:20,GnTVzAOULu,141,2763.00
878,07-07-2020 16:08:21,cPvsNqhFJE,142,1380.00
879,07-07-2020 16:08:21,mGVGLIRJAe,142,3286.00
880,07-07-2020 16:08:21,DtdIwblqwV,143,3282.00
881,07-07-2020 16:08:21,pNXDbCIVEt,143,2231.00
